date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:28	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202024%2020:48:04%20GMT	http://code.tidio.co/tnmesqwtp1l0zrlmoibqlg3mxb5sgpyf.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/code.tidio.co/tnmesqwtp1l0zrlmoibqlg3mxb5sgpyf.9.delayed	(from https://stocklypacificrealty.com/)
21:48:29	19253/19253	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:48:05%20GMT	https://stocklypacificrealty.com/?a=cust&page=market	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/index0867.html	(from https://stocklypacificrealty.com/)
21:48:33	12570/12570	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:48:07%20GMT	https://stocklypacificrealty.com/?a=cust&page=contact	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/index8552.html	(from https://stocklypacificrealty.com/)
21:48:33	17172/17172	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:48:07%20GMT	https://stocklypacificrealty.com/?a=cust&page=careers	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/indexb504.html	(from https://stocklypacificrealty.com/)
21:48:39	9834/9834	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:48:10%20GMT	https://stocklypacificrealty.com/?a=signup	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/indexcca3.html	(from https://stocklypacificrealty.com/)
21:48:40	7854/7854	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:48:13%20GMT	https://stocklypacificrealty.com/?a=login	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/indexc30b.html	(from https://stocklypacificrealty.com/)
21:48:40	6425/6425	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Mar%202023%2017:02:09%20GMT	https://stocklypacificrealty.com/img/logo-dark%202.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/logo-dark%202.png	(from https://stocklypacificrealty.com/)
21:48:41	428/428	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-5.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-5.svg	(from https://stocklypacificrealty.com/)
21:48:42	387/387	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-6.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-6.svg	(from https://stocklypacificrealty.com/)
21:48:43	1466/1466	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-7.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-7.svg	(from https://stocklypacificrealty.com/)
21:48:45	232/232	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-8.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-8.svg	(from https://stocklypacificrealty.com/)
21:48:49	85335/85335	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-1.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-1.svg	(from https://stocklypacificrealty.com/)
21:48:56	7571/7571	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-2.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-2.svg	(from https://stocklypacificrealty.com/)
21:48:59	610/610	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-3.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-3.svg	(from https://stocklypacificrealty.com/)
21:49:01	2058/2058	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-6-icon-1.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-6-icon-1.png	(from https://stocklypacificrealty.com/)
21:49:03	20971/20971	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-symbol-4.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-symbol-4.svg	(from https://stocklypacificrealty.com/)
21:49:03	2046/2046	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-6-icon-2.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-6-icon-2.png	(from https://stocklypacificrealty.com/)
21:49:05	1974/1974	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-6-icon-3.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-6-icon-3.png	(from https://stocklypacificrealty.com/)
21:49:11	2241/2241	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-6-icon-4.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-6-icon-4.png	(from https://stocklypacificrealty.com/)
21:49:15	1698/1698	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-6-icon-5.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-6-icon-5.png	(from https://stocklypacificrealty.com/)
21:49:20	13363/13363	---M--	200	added ('OK')	text/javascript	etag:%22b6cd9afc10a439cc65eb19fc8e2b6b6b%22	https://s3.tradingview.com/external-embedding/embed-widget-symbol-info.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/s3.tradingview.com/external-embedding/embed-widget-symbol-info.js	(from https://stocklypacificrealty.com/)
21:49:25	4027/4027	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Mar%202023%2020:21:38%20GMT	https://stocklypacificrealty.com/images/b.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/images/b.jpg	(from https://stocklypacificrealty.com/)
21:49:27	24552/24552	---M--	200	added ('OK')	image/png	etag:%227b2268e6bbeb613c4a4c429125c14c37%22	https://s3-symbol-logo.tradingview.com/ocado-group--600.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/s3-symbol-logo.tradingview.com/ocado-group--600.png	(from https://stocklypacificrealty.com/)
21:49:31	20195/20195	---M--	200	added ('OK')	image/jpeg	etag:%22c0f1176c0ccf270a93cb18776d0fd573%22	https://t3.ftcdn.net/jpg/02/38/90/16/360_F_238901681_IlDAOrbHBy84kDY3vReKWLbflTIlZdUi.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/t3.ftcdn.net/jpg/02/38/90/16/360_F_238901681_IlDAOrbHBy84kDY3vReKWLbflTIlZdUi.jpg	(from https://stocklypacificrealty.com/)
21:49:34	144642/144642	---M--	200	added ('OK')	image/png	etag:%22bfcf4d569fd68be98aa9b7cc9e6827b0%22	https://dwxbwps5boihg.cloudfront.net/topic/post_picture/1402/property_investment.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/dwxbwps5boihg.cloudfront.net/topic/post_picture/1402/property_investment.png	(from https://stocklypacificrealty.com/)
21:49:43	79882/79882	---M--	200	added ('OK')	image/jpeg	etag:%228479fd4e89dd044a7804fb1798cd1ec2%22	https://static.vecteezy.com/system/resources/previews/003/067/839/original/eco-green-leaf-icon-in-light-bulb-free-vector.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/static.vecteezy.com/system/resources/previews/003/067/839/original/eco-green-leaf-icon-in-light-bulb-free-vector.jpg	(from https://stocklypacificrealty.com/)
21:51:07	548190/548190	---M--	200	added ('OK')	image/webp	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-8-background.webp	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-8-background.webp	(from https://stocklypacificrealty.com/)
21:51:16	28818/28818	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-avo-8-video.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-8-video.jpg	(from https://stocklypacificrealty.com/)
21:53:31	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Sun,%2004%20Feb%202024%2020:53:08%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/TUNTECH/Desktop/trade/trading%20site/translate.google.com/translate_a/element.25a0d8.delayed	(from https://stocklypacificrealty.com/)
21:53:35	89559/89559	---MC-	200	added ('OK')	text/javascript	date:Sun,%2004%20Feb%202024%2020:53:09%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/TUNTECH/Desktop/trade/trading%20site/translate.google.com/translate_a/elementa0d8.js	(from https://stocklypacificrealty.com/)
21:53:41	6478/6478	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Jan%202023%2018:47:46%20GMT	https://stocklypacificrealty.com/js/vendors/vanilla-marquee.min.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/js/vendors/vanilla-marquee.min.js	(from https://stocklypacificrealty.com/)
21:53:43	6491/6491	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Jan%202023%2011:51:02%20GMT	https://stocklypacificrealty.com/js/vendors/tradingview-widget.min.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/js/vendors/tradingview-widget.min.js	(from https://stocklypacificrealty.com/)
21:53:53	23397/23397	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Feb%202023%2013:37:10%20GMT	https://stocklypacificrealty.com/js/vendors/bigger-picture.min.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/js/vendors/bigger-picture.min.js	(from https://stocklypacificrealty.com/)
21:54:05	38812/38812	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Feb%202023%2013:37:10%20GMT	https://stocklypacificrealty.com/js/utilities.min.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/js/utilities.min.js	(from https://stocklypacificrealty.com/)
21:54:06	1624/1624	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Feb%202023%2006:10:38%20GMT	https://stocklypacificrealty.com/js/config-theme.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/js/config-theme.js	(from https://stocklypacificrealty.com/)
21:54:08	22284/22284	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Mar%202023%2015:54:03%20GMT	https://stocklypacificrealty.com/fonts/dm-sans-v11-latin-regular.woff	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/dm-sans-v11-latin-regular.woff	(from https://stocklypacificrealty.com/css/style.css)
21:54:13	22348/22348	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Mar%202023%2015:54:03%20GMT	https://stocklypacificrealty.com/fonts/dm-sans-v11-latin-700.woff	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/dm-sans-v11-latin-700.woff	(from https://stocklypacificrealty.com/css/style.css)
21:54:25	303480/303480	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2025%20Mar%202023%2015:54:05%20GMT	https://stocklypacificrealty.com/fonts/fa-solid-900.ttf	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/fa-solid-900.ttf	(from https://stocklypacificrealty.com/css/style.css)
21:54:27	180148/180148	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2025%20Mar%202023%2015:54:04%20GMT	https://stocklypacificrealty.com/fonts/fa-brands-400.ttf	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/fa-brands-400.ttf	(from https://stocklypacificrealty.com/css/style.css)
21:54:29	1694/1694	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-award-left.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-award-left.svg	(from https://stocklypacificrealty.com/css/style.css)
21:54:30	1709/1709	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-award-right.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-award-right.svg	(from https://stocklypacificrealty.com/css/style.css)
21:54:31	820/820	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2015%20Feb%202023%2013:37:06%20GMT	https://stocklypacificrealty.com/img/in-avo-16-line.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-16-line.svg	(from https://stocklypacificrealty.com/css/style.css)
21:54:33	12177/12177	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:54:09%20GMT	https://stocklypacificrealty.com/?a=cust&page=about	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/index3898.html	(from https://stocklypacificrealty.com/)
21:54:35	48422/48422	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-gallery-image-1.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-gallery-image-1.jpg	(from https://stocklypacificrealty.com/?a=cust&page=careers)
21:54:39	22431/22431	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-gallery-image-3.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-gallery-image-3.jpg	(from https://stocklypacificrealty.com/?a=cust&page=careers)
21:54:41	46044/46044	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-gallery-image-2.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-gallery-image-2.jpg	(from https://stocklypacificrealty.com/?a=cust&page=careers)
21:54:43	58210/58210	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-gallery-image-6.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-gallery-image-6.jpg	(from https://stocklypacificrealty.com/?a=cust&page=careers)
21:54:44	42731/42731	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-gallery-image-5.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-gallery-image-5.jpg	(from https://stocklypacificrealty.com/?a=cust&page=careers)
21:54:54	117003/117003	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-signin-image.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-signin-image.jpg	(from https://stocklypacificrealty.com/?a=login)
21:54:55	23822/23822	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-gallery-image-4.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-gallery-image-4.jpg	(from https://stocklypacificrealty.com/?a=cust&page=careers)
21:55:00	9463/9463	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:54:32%20GMT	https://stocklypacificrealty.com/?a=forgot_password	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/index8083.html	(from https://stocklypacificrealty.com/?a=login)
22:05:36	5617/5617	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-team-background-1.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-team-background-1.png	(from https://stocklypacificrealty.com/?a=cust&page=about)
22:05:48	74349/74349	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-team-4.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-team-4.png	(from https://stocklypacificrealty.com/?a=cust&page=about)
22:05:54	88887/88887	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-team-2.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-team-2.png	(from https://stocklypacificrealty.com/?a=cust&page=about)
22:06:01	115425/115425	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/blockit/in-team-1.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/blockit/in-team-1.png	(from https://stocklypacificrealty.com/?a=cust&page=about)
22:07:30	5006075/5006075	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Sun,%2026%20Mar%202023%2008:16:41%20GMT	https://stocklypacificrealty.com/img/in-avo-3-decor-1.jpg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-avo-3-decor-1.jpg	(from https://stocklypacificrealty.com/)
22:11:16	5807042/5807042	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2026%20Mar%202023%2008:35:14%20GMT	https://stocklypacificrealty.com/img/in-slide-img-1.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-img-1.png	(from https://stocklypacificrealty.com/)
22:12:44	731122/731122	UR-M--	200	added ('Partial%20Content')	image/webp	date:Wed,%2015%20Feb%202023%2013:37:08%20GMT	https://stocklypacificrealty.com/img/in-slide-bg.webp	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-bg.webp	(from https://stocklypacificrealty.com/css/style.css)
22:12:58	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Feb%202024%2021:12:23%20GMT	https://stocklypacificrealty.com/assets/img/page-header-bg.svg	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/assets/img/page-header-bg.svg	(from https://stocklypacificrealty.com/?a=forgot_password)
22:22:01	12002719/12002719	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2026%20Mar%202023%2009:40:40%20GMT	https://stocklypacificrealty.com/img/in-slide-img-2.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/in-slide-img-2.png	(from https://stocklypacificrealty.com/)
